,Gershgorin,DeVille,Algorithm 2(k=1),Algorithm 2(k=2),eigenvalue,Gershgorin_time,DeVille_time,Algorithm 2(k=1)_time,Algorithm 2(k=2)_time,eigenvalue_time,diag_eps
51,-2490.3062384767463,-2489.9039580933577,-0.007991380128362868,-0.007991380128320347,0.9999999999999003,0.4445512294769287,5.810924768447876,11.076695919036865,16.260919094085693,36.076294898986816,1
52,-2499.5369248697266,-2499.4132090824723,-0.006915189258222321,-0.00691518925809409,0.9999999999995818,0.40792393684387207,6.011930704116821,11.246225118637085,16.254294872283936,35.912238121032715,1
53,-2495.1462562445327,-2495.1462562445327,-0.012769635500186505,-0.006751031803628682,0.9999999999996876,0.42309141159057617,4.9645891189575195,11.019394159317017,15.663029193878174,35.26811909675598,1
54,-2502.802718484038,-2502.802718484038,-0.011173333419133735,-0.006226072574771591,0.99999999999967,0.11995172500610352,914.8057260513306,1902.6397109031677,3044.881860733032,6939.45180606842,1
55,-2498.8410146994993,-2498.5318813519516,-0.011995445555852635,-0.00589240208157138,0.9999999999996706,0.4354701042175293,5.983015298843384,11.243048906326294,16.824576139450073,36.530009269714355,1
56,-2494.350433094671,-2493.978478121847,-0.007188078648904028,-0.003310329634144904,0.9999999999993137,0.4649660587310791,6.056323766708374,11.20879578590393,16.143983125686646,35.94709491729736,1
57,-2520.8823565815937,-2520.8823565815937,-0.007573063819892534,-0.002228543981921627,0.9999999999998843,0.26186108589172363,5.023279905319214,11.39767074584961,16.438353061676025,36.390907287597656,1
58,-2527.7295114175135,-2527.7295114175135,0.002654412092231162,0.002654412092231162,0.9999999999996718,0.438931941986084,5.122849225997925,11.09964895248413,11.308767080307007,36.01244783401489,1
59,-2542.4842086124395,-2542.4842086124395,0.005725731234411224,0.005725731234411224,0.9999999999994124,0.42606377601623535,4.981931209564209,11.06784200668335,10.971857070922852,35.213239669799805,1
60,-2506.6671858460504,-2506.4122054088916,-0.14911835315821198,-0.14911835315821198,-3.3340134837910096e-13,0.43828773498535156,6.009864807128906,11.283117055892944,21.959752082824707,34.20516920089722,0
61,-2502.4422962496774,-2502.415908068117,-0.1491158082216158,-0.1491158082216158,-2.1976679726586117e-13,0.4381706714630127,5.030277729034424,10.899186849594116,21.479691982269287,34.19409799575806,0
62,-2474.254742699166,-2474.201805016078,-0.14906791890533472,-0.14906791890533472,-2.412306478490589e-13,0.4565281867980957,4.685267925262451,10.930103063583374,21.98779606819153,34.24807286262512,0
63,-2499.6661948860137,-2499.6661948860137,-0.14903285385096035,-0.14903285385096035,-5.49239713156845e-13,0.43957018852233887,5.151758909225464,10.921772241592407,21.53590989112854,34.17644786834717,0
64,-2471.0226264698554,-2471.0226264698554,-0.14895411116864116,-0.14895411116864116,-3.1679267213568996e-13,0.43256115913391113,5.0910069942474365,11.287852764129639,21.739232063293457,34.102821826934814,0
65,-2517.2847625499307,-2517.2207679299513,-0.1489143546198434,-0.1489143546198434,-8.649816136827211e-14,0.4314889907836914,6.002680063247681,11.317576169967651,22.124680995941162,34.10453009605408,0
66,-2511.900210805884,-2511.900210805884,-0.14887075553123963,-0.14887075553123963,-6.6227488896711e-13,0.15682101249694824,4.5540771484375,10.82224988937378,21.382243156433105,34.06376385688782,0
67,-2524.871929824222,-2524.871929824222,-0.1488542089104828,-0.1488542089104828,-3.339600159335601e-13,0.4355340003967285,5.099230051040649,11.229773044586182,21.693759441375732,34.14220595359802,0
68,-2502.9862247368173,-2502.9862247368173,-0.1487408385647292,-0.1487408385647292,-3.346657722939095e-13,0.43607592582702637,5.134537935256958,11.213780879974365,22.05799412727356,34.11621880531311,0
69,-2506.402940122288,-2505.771055825974,-0.14872703910951462,-0.14872703910951462,-5.275673327226645e-13,0.43674278259277344,5.960970878601074,11.279104948043823,21.83331298828125,34.133402824401855,0
70,-2517.8111060880765,-2517.7563846023063,-0.1486988392576889,-0.1486988392576889,-3.5757013584581547e-13,0.026482820510864258,4.357465028762817,10.900622129440308,21.936861991882324,34.10203504562378,0
71,-2486.8553978622977,-2486.8553978622977,-0.14864202635562945,-0.14864202635562945,-4.4276437267480835e-13,0.4374399185180664,5.125283241271973,11.304333925247192,21.786704778671265,34.257219076156616,0
72,-2495.156601754581,-2495.092897169245,-0.1486338454277862,-0.1486338454277862,-5.321530520550382e-13,0.43648624420166016,5.975708961486816,11.212303876876831,21.514811754226685,34.245683908462524,0
73,-2491.017665631845,-2490.549949036281,-0.14862913593835042,-0.14862913593835042,-2.5525140445540667e-13,0.4356510639190674,5.75542688369751,11.21751093864441,21.70238208770752,34.06869196891785,0
74,-2506.747121542094,-2506.652040903342,-0.1486016013761387,-0.1486016013761387,-2.3552663060217655e-13,0.4360628128051758,6.011731147766113,11.224041223526001,21.985544204711914,34.16247224807739,0
75,-2484.376492495311,-2484.376492495311,-0.14891646092837604,-0.1253864333577315,-4.463138948312493e-13,0.44059205055236816,5.189072847366333,11.293338060379028,21.931918144226074,34.4896137714386,0
76,-2505.9928139052267,-2505.9928139052267,-0.14913308700746108,-0.12468161359967055,-5.124217061427173e-13,0.4394350051879883,5.1191301345825195,11.276868104934692,22.054861783981323,34.23098707199097,0
77,-2497.6902476685195,-2497.6902476685195,-0.14884505111764684,-0.12468050679778261,-5.624553828940589e-13,0.4493412971496582,5.136232852935791,11.172832012176514,21.888499975204468,33.99996614456177,0
78,-2519.5053147792073,-2519.5053147792073,-0.14879077122026985,-0.124530408337109,-1.5600126265599162e-13,0.43796777725219727,5.120912075042725,11.353239059448242,22.010837078094482,34.09474802017212,0
79,-2493.0550908046566,-2492.8545962597345,-0.14890068543926763,-0.12247035664370538,-4.177588405629338e-13,0.4391622543334961,5.983660936355591,11.180058002471924,21.85196805000305,34.18529295921326,0
